"course_id","course_item_id","jhu_user_id","course_item_grade_ts","course_item_passing_state_id","course_item_grade_overall","course_item_grade_verified","course_item_grade_pending"
"LEemVewWMPAqsm3Vo3Am1z","p3P6e","814b1873","2017-08-01 10:21:09","2","0.85714287","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JXhHH","3b3b75a8","2016-10-06 17:07:13","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JoASJ","5c22fb1d","2017-03-03 19:11:49","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JXhHH","da71c077","2017-02-05 03:48:56","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","p3P6e","aa3bab1","2017-02-13 20:17:12","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","tMYrn","c6e97813","2016-02-04 20:45:32","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JoASJ","fca2e29c","2016-04-21 22:55:48","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","a1Uy9","5447b957","2016-01-19 13:16:02","2","1.00000000","0.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","tMYrn","8c330503","2016-06-25 11:50:20","2","0.95833331","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JXhHH","82de89ca","2016-02-07 21:44:45","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","tMYrn","4149c0cd","2016-03-01 14:35:00","2","0.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","tMYrn","26e97a7","2017-05-16 08:58:45","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JXhHH","f063da85","2016-10-10 03:33:36","0","0.90833336","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","a1Uy9","d086f173","2016-10-09 21:32:51","2","1.00000000","0.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","a0uT1","63cf4cb","2016-05-09 14:16:01","2","0.92857140","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JXhHH","63acc8de","2016-01-08 05:21:35","2","1.00000000","0.96428603","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JoASJ","1fce730b","2016-11-06 21:58:44","2","0.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","p3P6e","27a806fc","2016-01-07 17:50:23","0","0.83333302","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JXhHH","60de2d6f","2016-10-23 15:39:46","2","1.00000000","0.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","tMYrn","423f9437","2016-12-24 16:34:33","0","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JoASJ","5cdaf5db","2016-06-06 02:09:35","2","1.00000000","0.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JXhHH","f4d7fdfe","2017-10-04 02:02:30","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JXhHH","e8b9d0e4","2017-07-19 18:49:37","2","0.95833302","0.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","NLn0H","d7b1bb2b","2016-02-07 18:47:17","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","a0uT1","78b0ec21","2017-09-02 17:12:51","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JoASJ","4dd02e80","2016-01-15 19:05:03","2","1.00000000","0.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","p3P6e","1562998e","2017-06-20 19:12:35","2","0.00000000","0.92857140","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JXhHH","3cc88636","2017-07-24 02:49:28","0","0.85833299","0.82499999","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","a0uT1","a130272e","2016-06-20 16:04:31","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","a0uT1","8a84acc9","2016-10-31 17:11:45","2","0.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","a0uT1","5bf5755c","2017-04-18 16:13:57","2","0.00000000","0.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JXhHH","776bc061","2016-03-04 16:32:25","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","a1Uy9","2b686dda","2017-07-12 10:14:10","0","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","tMYrn","64361f11","2016-03-06 00:55:50","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","tMYrn","4d2d91c5","2017-07-22 20:29:01","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JoASJ","ed3c007e","2016-07-13 16:23:00","2","1.00000000","0.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","tMYrn","291a6a3e","2016-04-27 16:26:25","2","1.00000000","0.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","a0uT1","bfe330e1","2017-09-12 15:14:48","0","0.83333302","0.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","NLn0H","9454a5c6","2017-05-15 05:14:01","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","tMYrn","19e2b21","2017-05-02 14:07:33","2","0.92857099","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","p3P6e","fac7f64b","2017-03-06 09:39:06","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","tMYrn","92f50c60","2017-06-19 01:14:40","0","0.91666669","0.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","tMYrn","10829f4d","2017-06-12 04:15:54","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","a0uT1","407bdec3","2016-04-02 15:41:00","2","0.82499999","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","cFNt2","6e27ab30","2016-02-02 16:21:47","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","tMYrn","6ca9a06d","2017-03-12 20:11:39","2","1.00000000","1.00000000","0.000000"
"LEemVewWMPAqsm3Vo3Am1z","JoASJ","11832aa9","2016-11-27 12:34:50","2","1.00000000","1.00000000","0.000000"
