"course_id","course_lesson_id","course_module_id","course_lesson_order","course_lesson_name"
"LEemVewWMPAqsm3Vo3Am1z","xfUqN","Wl7Dp","2","course lesson name"
"LEemVewWMPAqsm3Vo3Am1z","xt0ze","ajpEb","1","course lesson name"
"LEemVewWMPAqsm3Vo3Am1z","DmHVQ","fymxj","5","course lesson name"
"LEemVewWMPAqsm3Vo3Am1z","sqbIL","ajpEb","1","course lesson name"
"LEemVewWMPAqsm3Vo3Am1z","ouQTo","Wl7Dp","0","course lesson name"
"LEemVewWMPAqsm3Vo3Am1z","tIana","Wl7Dp","3","course lesson name"
"LEemVewWMPAqsm3Vo3Am1z","qgdwB","WuLqV","4","course lesson name"
"LEemVewWMPAqsm3Vo3Am1z","7siS1","ajpEb","1","course lesson name"
"LEemVewWMPAqsm3Vo3Am1z","br6N2","Wl7Dp","3","course lesson name"
"LEemVewWMPAqsm3Vo3Am1z","X7jpX","WuLqV","1","course lesson name"
"LEemVewWMPAqsm3Vo3Am1z","7gsad","ajpEb","2","course lesson name"
"LEemVewWMPAqsm3Vo3Am1z","4UCEn","ajpEb","0","course lesson name"
"LEemVewWMPAqsm3Vo3Am1z","QHGkL","fymxj","0","course lesson name"
"LEemVewWMPAqsm3Vo3Am1z","4TxPq","ajpEb","0","course lesson name"
