"jhu_user_id","course_id","discussion_question_id","discussion_question_vote_value","discussion_question_vote_ts"
"854947d9","LEemVewWMPAqsm3Vo3Am1z","e6eebc93","1","2016-06-07 07:32:10"
"8c536823","LEemVewWMPAqsm3Vo3Am1z","9ba9dbbc","1","2016-02-22 18:00:37"
"a7de5b9b","LEemVewWMPAqsm3Vo3Am1z","3dac66c4","1","2016-04-22 11:35:13"
"91115944","LEemVewWMPAqsm3Vo3Am1z","d321f9d7","1","2016-03-18 13:12:06"
"13bbd64b","LEemVewWMPAqsm3Vo3Am1z","387b2807","1","2016-02-11 18:28:26"
"10ed077e","LEemVewWMPAqsm3Vo3Am1z","b3721a62","1","2016-06-02 20:18:57"
"c290c51b","LEemVewWMPAqsm3Vo3Am1z","c86d5194","1","2016-02-21 10:33:44"
"5e5cf2be","LEemVewWMPAqsm3Vo3Am1z","9fa6cf77","1","2016-02-07 19:52:14"
"4e6d8849","LEemVewWMPAqsm3Vo3Am1z","edb1e6ff","1","2016-05-24 19:00:10"
"ecc31945","LEemVewWMPAqsm3Vo3Am1z","f0d4093d","1","2017-09-29 17:57:32"
"e72ed4b7","LEemVewWMPAqsm3Vo3Am1z","d9020380","1","2016-01-16 15:20:00"
"2dbaa864","LEemVewWMPAqsm3Vo3Am1z","ec4b576c","1","2016-02-04 11:08:06"
"3e9ddd93","LEemVewWMPAqsm3Vo3Am1z","c5a5f34a","1","2017-01-26 16:21:28"
"1e51c3ea","LEemVewWMPAqsm3Vo3Am1z","5e891294","1","2016-02-17 07:45:02"
"eae2081d","LEemVewWMPAqsm3Vo3Am1z","4c700977","1","2016-02-25 08:49:34"
"4ceb43a1","LEemVewWMPAqsm3Vo3Am1z","b3b2164","1","2016-05-12 17:13:28"
"310cb914","LEemVewWMPAqsm3Vo3Am1z","4c700977","1","2016-03-19 19:45:42"
"617d7f27","LEemVewWMPAqsm3Vo3Am1z","1e2ea430","1","2017-06-20 20:46:18"
"60fc563e","LEemVewWMPAqsm3Vo3Am1z","a8236fcc","1","2017-10-03 17:42:01"
"58a9b19e","LEemVewWMPAqsm3Vo3Am1z","e8fe364d","1","2016-03-27 17:44:52"
"e4b98f44","LEemVewWMPAqsm3Vo3Am1z","48e0c28f","1","2016-06-27 05:14:23"
"7ac90ca7","LEemVewWMPAqsm3Vo3Am1z","9fa6cf77","1","2016-12-07 20:58:09"
"7197908f","LEemVewWMPAqsm3Vo3Am1z","113ceb2a","1","2016-02-21 10:32:42"
"fd5b0210","LEemVewWMPAqsm3Vo3Am1z","9fa6cf77","1","2016-05-15 19:38:12"
"14bbd740","LEemVewWMPAqsm3Vo3Am1z","c86d5194","1","2016-02-26 22:48:06"
"99f36b5c","LEemVewWMPAqsm3Vo3Am1z","4c700977","1","2016-11-07 16:45:47"
"4e6d8849","LEemVewWMPAqsm3Vo3Am1z","4c700977","1","2016-02-02 17:54:16"
"96fc65e9","LEemVewWMPAqsm3Vo3Am1z","72d36a5b","1","2017-05-10 18:34:56"
