"course_id","course_item_id","feedback_unit_id","feedback_unit_type","feedback_system","jhu_user_id","feedback_rating","feedback_max_rating","detailed_context","feedback_ts"
"LEemVewWMPAqsm3Vo3Am1z","bmcxY","12a5d118","lecture","LIKE_OR_DISLIKE","b23fa572","1","1","{\""typeName\"":\""lectureContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","gkgJF","9b396efb","supplement","LIKE_OR_DISLIKE","9ac1cf7c","1","1","{\""typeName\"":\""supplementContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","3p0Fo","3b64e34c","lecture","LIKE_OR_DISLIKE","a4471130","1","1","{\""typeName\"":\""supplementContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","ZfqjE","e7b2eb7","supplement","LIKE_OR_DISLIKE","3ae8e635","1","1","{\""typeName\"":\""supplementContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","Tx7YR","c63d7e3","supplement","LIKE_OR_DISLIKE","556333c6","1","1","{\""typeName\"":\""lectureContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","JXhHH","3a14173a","assessment","LIKE_OR_DISLIKE","df473ed7","1","1","{\""typeName\"":\""assessmentContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","HzjiX","99d062e","supplement","LIKE_OR_DISLIKE","e39f61bb","1","1","{\""typeName\"":\""supplementContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","budcM","2aab6866","lecture","LIKE_OR_DISLIKE","b6e4c6b8","1","1","{\""typeName\"":\""lectureContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","p3P6e","9f3446b","lecture","LIKE_OR_DISLIKE","4193088e","1","1","{\""typeName\"":\""lectureContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","gkgJF","e7b2eb7","lecture","LIKE_OR_DISLIKE","3d925c45","0","1","{\""typeName\"":\""lectureContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","vbl7n","fd5f6c65","supplement","LIKE_OR_DISLIKE","4bc87b76","1","1","{\""typeName\"":\""supplementContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","tIOJz","a768fe84","lecture","LIKE_OR_DISLIKE","e39f61bb","1","1","{\""typeName\"":\""supplementContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","VjXyO","d6a7d732","lecture","LIKE_OR_DISLIKE","1a13692e","1","1","{\""typeName\"":\""assessmentContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","uZMR3","35a126fb","lecture","LIKE_OR_DISLIKE","4d40d953","1","1","{\""typeName\"":\""lectureContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","02wyA","35a126fb","lecture","LIKE_OR_DISLIKE","2457c019","1","1","{\""typeName\"":\""supplementContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","KkPUa","a4e3b82","supplement","LIKE_OR_DISLIKE","ad659e1c","1","1","{\""typeName\"":\""supplementContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","YPpVk","5584903a","lecture","LIKE_OR_DISLIKE","2aa95966","1","1","{\""typeName\"":\""lectureContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
"LEemVewWMPAqsm3Vo3Am1z","it9f7","836235f9","supplement","LIKE_OR_DISLIKE","11002de9","1","1","{\""typeName\"":\""lectureContext\","\""definition\"":{\""courseId\"":\""3Vo3Am1LEeWMPAqsmzmVew\"""
