"course_id","feedback_system","jhu_user_id","feedback_category","feedback_text","feedback_ts"
"LEemVewWMPAqsm3Vo3Am1z","STAR","8c99d531","NPS_REASON","Some text","2016-01-16 15:48:02.834"
"LEemVewWMPAqsm3Vo3Am1z","NPS_FIRST_WEEK","13b868f1","generic","Some text","2017-03-12 02:46:38.416"
"LEemVewWMPAqsm3Vo3Am1z","NPS_FIRST_WEEK","3d438420","NPS_REASON","Some text","2016-12-17 03:42:08.26"
"LEemVewWMPAqsm3Vo3Am1z","NPS_FIRST_WEEK","f8641dfc","generic","Some text","2016-02-21 15:29:52.816"
"LEemVewWMPAqsm3Vo3Am1z","NPS_FIRST_WEEK","d1a742e9","NPS_REASON","Some text","2016-02-26 12:40:21.333"
"LEemVewWMPAqsm3Vo3Am1z","NPS_FIRST_WEEK","44b17075","generic","Some text","2016-05-17 10:24:37.549"
"LEemVewWMPAqsm3Vo3Am1z","NPS_FIRST_WEEK","db43d2c1","NPS_REASON","Some text","2016-03-13 18:34:59.223"
"LEemVewWMPAqsm3Vo3Am1z","NPS_END_OF_COURSE","44b17075","generic","Some text","2016-04-01 18:49:47.027"
"LEemVewWMPAqsm3Vo3Am1z","STAR","f5da05e4","NPS_REASON","Some text","2016-03-01 15:16:29.394"
"LEemVewWMPAqsm3Vo3Am1z","NPS_FIRST_WEEK","26620ba3","NPS_REASON","Some text","2017-07-28 23:26:38.787"
"LEemVewWMPAqsm3Vo3Am1z","NPS_FIRST_WEEK","7b11a95c","generic","Some text","2016-04-05 20:02:36.424"
"LEemVewWMPAqsm3Vo3Am1z","STAR","70f770da","NPS_REASON","Some text","2016-03-13 19:30:14.499"
"LEemVewWMPAqsm3Vo3Am1z","STAR","6073d09f","generic","Some text","2017-01-20 17:19:38.123"
"LEemVewWMPAqsm3Vo3Am1z","STAR","90214003","NPS_REASON","Some text","2016-05-03 18:54:55.276"
"LEemVewWMPAqsm3Vo3Am1z","NPS_FIRST_WEEK","beeb4da4","generic","Some text","2016-02-07 05:56:45.187"
"LEemVewWMPAqsm3Vo3Am1z","STAR","5ae7577d","NPS_REASON","Some text","2016-04-22 21:14:17.689"
"LEemVewWMPAqsm3Vo3Am1z","NPS_END_OF_COURSE","15d29753","NPS_REASON","Some text","2017-05-18 17:33:14.783"
"LEemVewWMPAqsm3Vo3Am1z","NPS_FIRST_WEEK","add8060a","NPS_REASON","Some text","2016-02-28 08:37:25.475"
